"country","edu.att","year","sigma"
"Albania","no.edu.primary","1978",NA
"Albania","no.edu.primary","1979",NA
"Albania","no.edu.primary","1980",NA
"Albania","no.edu.primary","1981",NA
"Albania","no.edu.primary","1982",NA
"Albania","no.edu.primary","1983",NA
"Albania","no.edu.primary","1984",NA
"Albania","no.edu.primary","1985",NA
"Albania","no.edu.primary","1986",NA
"Albania","no.edu.primary","1987",NA
"Albania","no.edu.primary","1988",NA
"Albania","no.edu.primary","1989",NA
"Albania","no.edu.primary","1990",NA
"Albania","no.edu.primary","1991",NA
"Albania","no.edu.primary","1992",NA
"Albania","no.edu.primary","1993",NA
"Albania","no.edu.primary","1994",NA
"Albania","no.edu.primary","1995",NA
"Albania","no.edu.primary","1996",NA
"Albania","no.edu.primary","1997",NA
"Albania","no.edu.primary","1998",0.246483348394021
"Albania","no.edu.primary","1999",0.246483348394021
"Albania","no.edu.primary","2000",0.246483348394021
"Albania","no.edu.primary","2001",0.246483348394021
"Albania","no.edu.primary","2002",0.246483348394021
"Albania","no.edu.primary","2003",0.246483348394021
"Albania","no.edu.primary","2004",0.246483348394021
"Albania","no.edu.primary","2005",0.246483348394021
"Albania","no.edu.primary","2006",0.246483348394021
"Albania","no.edu.primary","2007",0.246483348394021
"Albania","no.edu.primary","2008",0.246483348394021
"Albania","no.edu.primary","2009",NA
"Albania","no.edu.primary","2010",NA
"Albania","no.edu.primary","2011",NA
"Albania","no.edu.primary","2012",NA
"Albania","no.edu.primary","2013",NA
"Albania","no.edu.primary","2014",NA
"Albania","no.edu.primary","2015",NA
"Albania","no.edu.primary","2016",NA
"Albania","no.edu.primary","2017",NA
"Albania","secondary.higher","1978",NA
"Albania","secondary.higher","1979",NA
"Albania","secondary.higher","1980",NA
"Albania","secondary.higher","1981",NA
"Albania","secondary.higher","1982",NA
"Albania","secondary.higher","1983",NA
"Albania","secondary.higher","1984",NA
"Albania","secondary.higher","1985",NA
"Albania","secondary.higher","1986",NA
"Albania","secondary.higher","1987",NA
"Albania","secondary.higher","1988",NA
"Albania","secondary.higher","1989",NA
"Albania","secondary.higher","1990",NA
"Albania","secondary.higher","1991",NA
"Albania","secondary.higher","1992",NA
"Albania","secondary.higher","1993",NA
"Albania","secondary.higher","1994",NA
"Albania","secondary.higher","1995",NA
"Albania","secondary.higher","1996",NA
"Albania","secondary.higher","1997",NA
"Albania","secondary.higher","1998",0.310532294082669
"Albania","secondary.higher","1999",0.310532294082669
"Albania","secondary.higher","2000",0.310532294082669
"Albania","secondary.higher","2001",0.310532294082669
"Albania","secondary.higher","2002",0.310532294082669
"Albania","secondary.higher","2003",0.310532294082669
"Albania","secondary.higher","2004",0.310532294082669
"Albania","secondary.higher","2005",0.310532294082669
"Albania","secondary.higher","2006",0.310532294082669
"Albania","secondary.higher","2007",0.310532294082669
"Albania","secondary.higher","2008",0.310532294082669
"Albania","secondary.higher","2009",NA
"Albania","secondary.higher","2010",NA
"Albania","secondary.higher","2011",NA
"Albania","secondary.higher","2012",NA
"Albania","secondary.higher","2013",NA
"Albania","secondary.higher","2014",NA
"Albania","secondary.higher","2015",NA
"Albania","secondary.higher","2016",NA
"Albania","secondary.higher","2017",NA
"Albania","tot","1978",NA
"Albania","tot","1979",NA
"Albania","tot","1980",NA
"Albania","tot","1981",NA
"Albania","tot","1982",NA
"Albania","tot","1983",NA
"Albania","tot","1984",NA
"Albania","tot","1985",NA
"Albania","tot","1986",NA
"Albania","tot","1987",NA
"Albania","tot","1988",NA
"Albania","tot","1989",NA
"Albania","tot","1990",NA
"Albania","tot","1991",NA
"Albania","tot","1992",NA
"Albania","tot","1993",NA
"Albania","tot","1994",NA
"Albania","tot","1995",NA
"Albania","tot","1996",NA
"Albania","tot","1997",NA
"Albania","tot","1998",0.185642340152694
"Albania","tot","1999",0.185642340152694
"Albania","tot","2000",0.185642340152694
"Albania","tot","2001",0.185642340152694
"Albania","tot","2002",0.185642340152694
"Albania","tot","2003",0.185642340152694
"Albania","tot","2004",0.185642340152694
"Albania","tot","2005",0.185642340152694
"Albania","tot","2006",0.185642340152694
"Albania","tot","2007",0.185642340152694
"Albania","tot","2008",0.185642340152694
"Albania","tot","2009",NA
"Albania","tot","2010",NA
"Albania","tot","2011",NA
"Albania","tot","2012",NA
"Albania","tot","2013",NA
"Albania","tot","2014",NA
"Albania","tot","2015",NA
"Albania","tot","2016",NA
"Albania","tot","2017",NA
"Armenia","no.edu.primary","1978",NA
"Armenia","no.edu.primary","1979",NA
"Armenia","no.edu.primary","1980",NA
"Armenia","no.edu.primary","1981",NA
"Armenia","no.edu.primary","1982",NA
"Armenia","no.edu.primary","1983",NA
"Armenia","no.edu.primary","1984",NA
"Armenia","no.edu.primary","1985",NA
"Armenia","no.edu.primary","1986",NA
"Armenia","no.edu.primary","1987",NA
"Armenia","no.edu.primary","1988",NA
"Armenia","no.edu.primary","1989",NA
"Armenia","no.edu.primary","1990",NA
"Armenia","no.edu.primary","1991",NA
"Armenia","no.edu.primary","1992",NA
"Armenia","no.edu.primary","1993",NA
"Armenia","no.edu.primary","1994",NA
"Armenia","no.edu.primary","1995",NA
"Armenia","no.edu.primary","1996",NA
"Armenia","no.edu.primary","1997",NA
"Armenia","no.edu.primary","1998",NA
"Armenia","no.edu.primary","1999",NA
"Armenia","no.edu.primary","2000",NA
"Armenia","no.edu.primary","2001",NA
"Armenia","no.edu.primary","2002",NA
"Armenia","no.edu.primary","2003",NA
"Armenia","no.edu.primary","2004",NA
"Armenia","no.edu.primary","2005",NA
"Armenia","no.edu.primary","2006",NA
"Armenia","no.edu.primary","2007",NA
"Armenia","no.edu.primary","2008",NA
"Armenia","no.edu.primary","2009",NA
"Armenia","no.edu.primary","2010",NA
"Armenia","no.edu.primary","2011",NA
"Armenia","no.edu.primary","2012",NA
"Armenia","no.edu.primary","2013",NA
"Armenia","no.edu.primary","2014",NA
"Armenia","no.edu.primary","2015",NA
"Armenia","no.edu.primary","2016",NA
"Armenia","no.edu.primary","2017",NA
"Armenia","secondary.higher","1978",NA
"Armenia","secondary.higher","1979",NA
"Armenia","secondary.higher","1980",NA
"Armenia","secondary.higher","1981",NA
"Armenia","secondary.higher","1982",NA
"Armenia","secondary.higher","1983",NA
"Armenia","secondary.higher","1984",NA
"Armenia","secondary.higher","1985",NA
"Armenia","secondary.higher","1986",NA
"Armenia","secondary.higher","1987",NA
"Armenia","secondary.higher","1988",NA
"Armenia","secondary.higher","1989",NA
"Armenia","secondary.higher","1990",0.121988264718633
"Armenia","secondary.higher","1991",0.121988264718633
"Armenia","secondary.higher","1992",0.121988264718633
"Armenia","secondary.higher","1993",0.121988264718633
"Armenia","secondary.higher","1994",0.121988264718633
"Armenia","secondary.higher","1995",0.142015107101219
"Armenia","secondary.higher","1996",0.142015107101219
"Armenia","secondary.higher","1997",0.142015107101219
"Armenia","secondary.higher","1998",0.142015107101219
"Armenia","secondary.higher","1999",0.142015107101219
"Armenia","secondary.higher","2000",0.168238906942001
"Armenia","secondary.higher","2001",0.214978747868437
"Armenia","secondary.higher","2002",0.214978747868437
"Armenia","secondary.higher","2003",0.214978747868437
"Armenia","secondary.higher","2004",0.214978747868437
"Armenia","secondary.higher","2005",0.224770228271177
"Armenia","secondary.higher","2006",0.281230104527728
"Armenia","secondary.higher","2007",0.281230104527728
"Armenia","secondary.higher","2008",0.281230104527728
"Armenia","secondary.higher","2009",0.281230104527728
"Armenia","secondary.higher","2010",0.281230104527728
"Armenia","secondary.higher","2011",0.285716491942696
"Armenia","secondary.higher","2012",0.285716491942696
"Armenia","secondary.higher","2013",0.285716491942696
"Armenia","secondary.higher","2014",0.285716491942696
"Armenia","secondary.higher","2015",0.285716491942696
"Armenia","secondary.higher","2016",NA
"Armenia","secondary.higher","2017",NA
