"age","in.which.group","mod_est_mean","mod_est_sd"
15,"lower",-7.11929202128269,0.54862597484629
20,"lower",-6.85454825311143,0.569141338662464
25,"lower",-6.67276946467295,0.551425945045288
30,"lower",-6.49620685636558,0.558163045707527
35,"lower",-6.2289880874652,0.491971702969892
40,"lower",-5.92000061564518,0.444047141233129
45,"lower",-5.53905525280835,0.375475610152143
50,"lower",-5.10660095457764,0.335217935335279
55,"lower",-4.70269248911825,0.310011458123508
60,"lower",-4.22146311214307,0.298845672843053
65,"lower",-3.70571939958609,0.275680950282008
70,"lower",-3.15537302925385,0.229844434244891
75,"lower",-2.63136375413337,0.199135235214502
80,"lower",-2.11298432855787,0.165128578586146
85,"lower",-1.50067544932559,0.13321645380343
15,"midHigh",-8.06277507272925,0.482897532564517
20,"midHigh",-7.82742253328287,0.51033091360255
25,"midHigh",-7.62646657904361,0.529425195103409
30,"midHigh",-7.33612647156577,0.51192651836877
35,"midHigh",-6.95130204215582,0.485034932713083
40,"midHigh",-6.5065506465696,0.449817888868641
45,"midHigh",-6.03838732436455,0.405677066833208
50,"midHigh",-5.56265933672607,0.375319122971414
55,"midHigh",-5.0897846263893,0.350915424544745
60,"midHigh",-4.58234910254146,0.35965499802132
65,"midHigh",-4.06603198581272,0.357372300695888
70,"midHigh",-3.50613648678848,0.350644440943078
75,"midHigh",-2.93618743903912,0.314820914262476
80,"midHigh",-2.3730960715741,0.274010330554127
85,"midHigh",-1.64902233491463,0.179728216315562
