"geo","sex","edu.att","age.group","year","log.mx.new","pop.size","region","sigma","mu"
"Albania","F","noEdu.primary","15-19",1978,NA,15920,"region1",0.289768696955415,-7.21299736495817
"Albania","M","secondary.higher","15-19",1978,NA,131520,"region1",0.0922900528463858,-6.90900758083247
"Albania","F","secondary.higher","15-19",1978,NA,123720,"region1",0.136495950978567,-7.62314310294532
"Albania","M","noEdu.primary","15-19",1978,NA,14820,"region1",0.216082378364584,-6.48541226307437
"Albania","F","noEdu.primary","15-19",1979,NA,15760,"region1",0.29256930660786,-7.23796506007815
"Albania","M","secondary.higher","15-19",1979,NA,135560,"region1",0.0911851124517964,-6.93173905175435
"Albania","F","secondary.higher","15-19",1979,NA,127560,"region1",0.133333017426007,-7.64722521912544
"Albania","M","noEdu.primary","15-19",1979,NA,14760,"region1",0.222632297694833,-6.50596908450784
"Albania","F","noEdu.primary","15-19",1980,NA,15600,"region1",0.303966007039286,-7.26298961836576
"Albania","M","secondary.higher","15-19",1980,NA,139600,"region1",0.0923522974895054,-6.95401542969376
"Albania","F","secondary.higher","15-19",1980,NA,131400,"region1",0.134197177212286,-7.67027755936198
"Albania","M","noEdu.primary","15-19",1980,NA,14700,"region1",0.223747608458984,-6.53169402364594
"Albania","F","noEdu.primary","15-19",1981,NA,15120,"region1",0.312719675961687,-7.28302731203883
"Albania","M","secondary.higher","15-19",1981,NA,140480,"region1",0.0921881167120854,-6.9726569875744
"Albania","F","secondary.higher","15-19",1981,NA,132300,"region1",0.135079394381262,-7.68964494589743
"Albania","M","noEdu.primary","15-19",1981,NA,14360,"region1",0.226443263793199,-6.54279231487143
"Albania","F","noEdu.primary","15-19",1982,NA,14640,"region1",0.311834168016879,-7.30473233975102
"Albania","M","secondary.higher","15-19",1982,NA,141360,"region1",0.093603707119146,-6.99107091033959
"Albania","F","secondary.higher","15-19",1982,NA,133200,"region1",0.135379027634043,-7.70716927748001
"Albania","M","noEdu.primary","15-19",1982,NA,14020,"region1",0.228942458613921,-6.56955727392792
"Albania","F","noEdu.primary","15-19",1983,NA,14160,"region1",0.321132704224199,-7.36049186870551
"Albania","M","secondary.higher","15-19",1983,NA,142240,"region1",0.0966340675490336,-7.04530996099462
"Albania","F","secondary.higher","15-19",1983,NA,134100,"region1",0.137410668206955,-7.76183929678121
"Albania","M","noEdu.primary","15-19",1983,NA,13680,"region1",0.243204597114762,-6.63132940685314
"Albania","F","noEdu.primary","15-19",1984,NA,13680,"region1",0.326077648848022,-7.37124197718014
"Albania","M","secondary.higher","15-19",1984,NA,143120,"region1",0.0944686853836595,-7.05403348016953
"Albania","F","secondary.higher","15-19",1984,NA,135000,"region1",0.138482490559049,-7.77164805416352
"Albania","M","noEdu.primary","15-19",1984,NA,13340,"region1",0.247382179459214,-6.63833850630235
"Albania","F","noEdu.primary","15-19",1985,NA,13200,"region1",0.339707807938652,-7.38857601971626
"Albania","M","secondary.higher","15-19",1985,NA,144000,"region1",0.0948795588925156,-7.0635137599818
"Albania","F","secondary.higher","15-19",1985,NA,135900,"region1",0.138330114330241,-7.78226881959846
"Albania","M","noEdu.primary","15-19",1985,NA,13000,"region1",0.24853899880068,-6.65213278900916
"Albania","F","noEdu.primary","15-19",1986,NA,12920,"region1",0.341204220922684,-7.39135686643426
"Albania","M","secondary.higher","15-19",1986,NA,145540,"region1",0.0946200932522655,-7.07544125761613
"Albania","F","secondary.higher","15-19",1986,NA,137440,"region1",0.138782832020895,-7.79298125335392
"Albania","M","noEdu.primary","15-19",1986,NA,12920,"region1",0.252254798944971,-6.66079118054386
"Albania","F","noEdu.primary","15-19",1987,NA,12640,"region1",0.352180377190724,-7.40631515748076
