"year","country.code","country","edu.att","mx.15"
"1978",8,"Albania","noEdu.primary",NA
"1979",8,"Albania","noEdu.primary",NA
"1980",8,"Albania","noEdu.primary",NA
"1981",8,"Albania","noEdu.primary",NA
"1982",8,"Albania","noEdu.primary",NA
"1983",8,"Albania","noEdu.primary",NA
"1984",8,"Albania","noEdu.primary",NA
"1985",8,"Albania","noEdu.primary",NA
"1986",8,"Albania","noEdu.primary",NA
"1987",8,"Albania","noEdu.primary",NA
"1988",8,"Albania","noEdu.primary",NA
"1989",8,"Albania","noEdu.primary",NA
"1990",8,"Albania","noEdu.primary",NA
"1991",8,"Albania","noEdu.primary",NA
"1992",8,"Albania","noEdu.primary",NA
"1993",8,"Albania","noEdu.primary",NA
"1994",8,"Albania","noEdu.primary",NA
"1995",8,"Albania","noEdu.primary",NA
"1996",8,"Albania","noEdu.primary",NA
"1997",8,"Albania","noEdu.primary",NA
"1998",8,"Albania","noEdu.primary",0.000396404846526316
"1999",8,"Albania","noEdu.primary",0.000380570844315789
"2000",8,"Albania","noEdu.primary",0.000364736842105263
"2001",8,"Albania","noEdu.primary",0.000360315789473684
"2002",8,"Albania","noEdu.primary",0.000355894736842105
"2003",8,"Albania","noEdu.primary",0.000351473684210526
"2004",8,"Albania","noEdu.primary",0.000347052631578947
"2005",8,"Albania","noEdu.primary",0.000342631578947368
"2006",8,"Albania","noEdu.primary",0.000356533514842105
"2007",8,"Albania","noEdu.primary",0.000370435450736842
"2008",8,"Albania","noEdu.primary",0.000384337386631579
"2009",8,"Albania","noEdu.primary",NA
"2010",8,"Albania","noEdu.primary",NA
"2011",8,"Albania","noEdu.primary",NA
"2012",8,"Albania","noEdu.primary",NA
"2013",8,"Albania","noEdu.primary",NA
"2014",8,"Albania","noEdu.primary",NA
"2015",8,"Albania","noEdu.primary",NA
"1978",51,"Armenia","noEdu.primary",NA
"1979",51,"Armenia","noEdu.primary",NA
"1980",51,"Armenia","noEdu.primary",NA
"1981",51,"Armenia","noEdu.primary",NA
"1982",51,"Armenia","noEdu.primary",NA
"1983",51,"Armenia","noEdu.primary",NA
"1984",51,"Armenia","noEdu.primary",NA
"1985",51,"Armenia","noEdu.primary",NA
"1986",51,"Armenia","noEdu.primary",NA
"1987",51,"Armenia","noEdu.primary",NA
"1988",51,"Armenia","noEdu.primary",NA
"1989",51,"Armenia","noEdu.primary",NA
"1990",51,"Armenia","noEdu.primary",0.00035545421
"1991",51,"Armenia","noEdu.primary",0.000343523226
"1992",51,"Armenia","noEdu.primary",0.000331592242
"1993",51,"Armenia","noEdu.primary",0.000319661258
"1994",51,"Armenia","noEdu.primary",0.000307730274
"1995",51,"Armenia","noEdu.primary",0.00029579929
"1996",51,"Armenia","noEdu.primary",0.000281791988
"1997",51,"Armenia","noEdu.primary",0.000267784686
"1998",51,"Armenia","noEdu.primary",0.000253777384
"1999",51,"Armenia","noEdu.primary",0.000239770082
"2000",51,"Armenia","noEdu.primary",0.000228271255333333
"2001",51,"Armenia","noEdu.primary",0.000232149576695652
"2002",51,"Armenia","noEdu.primary",0.000233628486869565
"2003",51,"Armenia","noEdu.primary",0.000235107397043478
"2004",51,"Armenia","noEdu.primary",0.000236586307217391
"2005",51,"Armenia","noEdu.primary",0.000237314814814815
"2006",51,"Armenia","noEdu.primary",0.000248711538461538
"2007",51,"Armenia","noEdu.primary",0.000255461538461538
"2008",51,"Armenia","noEdu.primary",0.000262211538461538
"2009",51,"Armenia","noEdu.primary",0.000268961538461539
"2010",51,"Armenia","noEdu.primary",0.000275711538461538
"2011",51,"Armenia","noEdu.primary",0.000253456376
"2012",51,"Armenia","noEdu.primary",0.000241412752
"2013",51,"Armenia","noEdu.primary",0.000229369128
"2014",51,"Armenia","noEdu.primary",0.000217325504
"2015",51,"Armenia","noEdu.primary",0.00020528188
"1978",31,"Azerbaijan","noEdu.primary",NA
"1979",31,"Azerbaijan","noEdu.primary",NA
"1980",31,"Azerbaijan","noEdu.primary",NA
"1981",31,"Azerbaijan","noEdu.primary",NA
"1982",31,"Azerbaijan","noEdu.primary",NA
"1983",31,"Azerbaijan","noEdu.primary",NA
"1984",31,"Azerbaijan","noEdu.primary",NA
"1985",31,"Azerbaijan","noEdu.primary",NA
"1986",31,"Azerbaijan","noEdu.primary",NA
"1987",31,"Azerbaijan","noEdu.primary",NA
"1988",31,"Azerbaijan","noEdu.primary",NA
"1989",31,"Azerbaijan","noEdu.primary",NA
"1990",31,"Azerbaijan","noEdu.primary",NA
"1991",31,"Azerbaijan","noEdu.primary",NA
"1992",31,"Azerbaijan","noEdu.primary",NA
"1993",31,"Azerbaijan","noEdu.primary",NA
"1994",31,"Azerbaijan","noEdu.primary",NA
"1995",31,"Azerbaijan","noEdu.primary",NA
"1996",31,"Azerbaijan","noEdu.primary",0.00048627852
"1997",31,"Azerbaijan","noEdu.primary",0.00048962106
"1998",31,"Azerbaijan","noEdu.primary",0.0004929636
"1999",31,"Azerbaijan","noEdu.primary",0.00049630614
"2000",31,"Azerbaijan","noEdu.primary",0.00049964868
"2001",31,"Azerbaijan","noEdu.primary",0.000468381628
"2002",31,"Azerbaijan","noEdu.primary",0.000437114576
"2003",31,"Azerbaijan","noEdu.primary",0.000405847524
"2004",31,"Azerbaijan","noEdu.primary",0.000374580472
"2005",31,"Azerbaijan","noEdu.primary",0.00034331342
"2006",31,"Azerbaijan","noEdu.primary",0.000337122736
"2007",31,"Azerbaijan","noEdu.primary",NA
"2008",31,"Azerbaijan","noEdu.primary",NA
"2009",31,"Azerbaijan","noEdu.primary",NA
"2010",31,"Azerbaijan","noEdu.primary",NA
"2011",31,"Azerbaijan","noEdu.primary",NA
"2012",31,"Azerbaijan","noEdu.primary",NA
"2013",31,"Azerbaijan","noEdu.primary",NA
"2014",31,"Azerbaijan","noEdu.primary",NA
"2015",31,"Azerbaijan","noEdu.primary",NA
"1978",818,"Egypt","noEdu.primary",0.00112763972176344
"1979",818,"Egypt","noEdu.primary",0.00109227300572043
"1980",818,"Egypt","noEdu.primary",0.00105690628967742
"1981",818,"Egypt","noEdu.primary",0.00102660847909677
"1982",818,"Egypt","noEdu.primary",0.00101284647197688
"1983",818,"Egypt","noEdu.primary",0.000982045807560694
"1984",818,"Egypt","noEdu.primary",0.000951245143144509
"1985",818,"Egypt","noEdu.primary",0.000938760904634146
"1986",818,"Egypt","noEdu.primary",0.000911850007821138
"1987",818,"Egypt","noEdu.primary",0.00088493911100813
"1988",818,"Egypt","noEdu.primary",0.000858028214195122
"1989",818,"Egypt","noEdu.primary",0.000849061026718954
"1990",818,"Egypt","noEdu.primary",0.000830950024807692
"1991",818,"Egypt","noEdu.primary",0.000807129783307692
"1992",818,"Egypt","noEdu.primary",0.000783309541807692
