"year","country.code","country","edu.att","mx.15"
"1978",8,"Albania","noEdu.primary",NA
"1979",8,"Albania","noEdu.primary",NA
"1980",8,"Albania","noEdu.primary",NA
"1981",8,"Albania","noEdu.primary",NA
"1982",8,"Albania","noEdu.primary",NA
"1983",8,"Albania","noEdu.primary",NA
"1984",8,"Albania","noEdu.primary",NA
"1985",8,"Albania","noEdu.primary",NA
"1986",8,"Albania","noEdu.primary",NA
"1987",8,"Albania","noEdu.primary",NA
"1988",8,"Albania","noEdu.primary",NA
"1989",8,"Albania","noEdu.primary",NA
"1990",8,"Albania","noEdu.primary",NA
"1991",8,"Albania","noEdu.primary",NA
"1992",8,"Albania","noEdu.primary",NA
"1993",8,"Albania","noEdu.primary",NA
"1994",8,"Albania","noEdu.primary",NA
"1995",8,"Albania","noEdu.primary",NA
"1996",8,"Albania","noEdu.primary",NA
"1997",8,"Albania","noEdu.primary",NA
"1998",8,"Albania","noEdu.primary",0.000920045226947369
"1999",8,"Albania","noEdu.primary",0.000903707297684211
"2000",8,"Albania","noEdu.primary",0.000887369368421053
"2001",8,"Albania","noEdu.primary",0.0008403066
"2002",8,"Albania","noEdu.primary",0.000793243831578948
"2003",8,"Albania","noEdu.primary",0.000746181063157895
"2004",8,"Albania","noEdu.primary",0.000699118294736842
"2005",8,"Albania","noEdu.primary",0.000652055526315789
"2006",8,"Albania","noEdu.primary",0.000648728684210526
"2007",8,"Albania","noEdu.primary",0.000645401842105263
"2008",8,"Albania","noEdu.primary",0.000642075
"2009",8,"Albania","noEdu.primary",NA
"2010",8,"Albania","noEdu.primary",NA
"2011",8,"Albania","noEdu.primary",NA
"2012",8,"Albania","noEdu.primary",NA
"2013",8,"Albania","noEdu.primary",NA
"2014",8,"Albania","noEdu.primary",NA
"2015",8,"Albania","noEdu.primary",NA
"1978",51,"Armenia","noEdu.primary",NA
"1979",51,"Armenia","noEdu.primary",NA
"1980",51,"Armenia","noEdu.primary",NA
"1981",51,"Armenia","noEdu.primary",NA
"1982",51,"Armenia","noEdu.primary",NA
"1983",51,"Armenia","noEdu.primary",NA
"1984",51,"Armenia","noEdu.primary",NA
"1985",51,"Armenia","noEdu.primary",NA
"1986",51,"Armenia","noEdu.primary",NA
"1987",51,"Armenia","noEdu.primary",NA
"1988",51,"Armenia","noEdu.primary",NA
"1989",51,"Armenia","noEdu.primary",NA
"1990",51,"Armenia","noEdu.primary",0.00098166188
"1991",51,"Armenia","noEdu.primary",0.00094411694
"1992",51,"Armenia","noEdu.primary",0.000906572
"1993",51,"Armenia","noEdu.primary",0.00086902706
"1994",51,"Armenia","noEdu.primary",0.00083148212
"1995",51,"Armenia","noEdu.primary",0.00079393718
"1996",51,"Armenia","noEdu.primary",0.000757092902
"1997",51,"Armenia","noEdu.primary",0.000720248624
"1998",51,"Armenia","noEdu.primary",0.000683404346
"1999",51,"Armenia","noEdu.primary",0.000646560068
"2000",51,"Armenia","noEdu.primary",0.000616490409888889
"2001",51,"Armenia","noEdu.primary",0.000624949428347826
"2002",51,"Armenia","noEdu.primary",0.000626928375608696
"2003",51,"Armenia","noEdu.primary",0.000628907322869565
"2004",51,"Armenia","noEdu.primary",0.000630886270130435
"2005",51,"Armenia","noEdu.primary",0.00063087037037037
"2006",51,"Armenia","noEdu.primary",0.000649163076923077
"2007",51,"Armenia","noEdu.primary",0.000655103076923077
"2008",51,"Armenia","noEdu.primary",0.000661043076923077
"2009",51,"Armenia","noEdu.primary",0.000666983076923077
"2010",51,"Armenia","noEdu.primary",0.000672923076923077
"2011",51,"Armenia","noEdu.primary",0.00071913132
"2012",51,"Armenia","noEdu.primary",0.00079026264
"2013",51,"Armenia","noEdu.primary",0.00086139396
"2014",51,"Armenia","noEdu.primary",0.00093252528
"2015",51,"Armenia","noEdu.primary",0.0010036566
"1978",31,"Azerbaijan","noEdu.primary",NA
"1979",31,"Azerbaijan","noEdu.primary",NA
"1980",31,"Azerbaijan","noEdu.primary",NA
"1981",31,"Azerbaijan","noEdu.primary",NA
"1982",31,"Azerbaijan","noEdu.primary",NA
"1983",31,"Azerbaijan","noEdu.primary",NA
"1984",31,"Azerbaijan","noEdu.primary",NA
"1985",31,"Azerbaijan","noEdu.primary",NA
"1986",31,"Azerbaijan","noEdu.primary",NA
"1987",31,"Azerbaijan","noEdu.primary",NA
"1988",31,"Azerbaijan","noEdu.primary",NA
"1989",31,"Azerbaijan","noEdu.primary",NA
"1990",31,"Azerbaijan","noEdu.primary",NA
"1991",31,"Azerbaijan","noEdu.primary",NA
"1992",31,"Azerbaijan","noEdu.primary",NA
"1993",31,"Azerbaijan","noEdu.primary",NA
"1994",31,"Azerbaijan","noEdu.primary",NA
"1995",31,"Azerbaijan","noEdu.primary",NA
"1996",31,"Azerbaijan","noEdu.primary",0.001024869902
"1997",31,"Azerbaijan","noEdu.primary",0.000996027004
"1998",31,"Azerbaijan","noEdu.primary",0.000967184106
"1999",31,"Azerbaijan","noEdu.primary",0.000938341208
"2000",31,"Azerbaijan","noEdu.primary",0.00090949831
"2001",31,"Azerbaijan","noEdu.primary",0.000866770998
"2002",31,"Azerbaijan","noEdu.primary",0.000824043686
"2003",31,"Azerbaijan","noEdu.primary",0.000781316374
"2004",31,"Azerbaijan","noEdu.primary",0.000738589062
"2005",31,"Azerbaijan","noEdu.primary",0.00069586175
"2006",31,"Azerbaijan","noEdu.primary",0.000680281622
"2007",31,"Azerbaijan","noEdu.primary",NA
"2008",31,"Azerbaijan","noEdu.primary",NA
"2009",31,"Azerbaijan","noEdu.primary",NA
"2010",31,"Azerbaijan","noEdu.primary",NA
"2011",31,"Azerbaijan","noEdu.primary",NA
"2012",31,"Azerbaijan","noEdu.primary",NA
"2013",31,"Azerbaijan","noEdu.primary",NA
"2014",31,"Azerbaijan","noEdu.primary",NA
"2015",31,"Azerbaijan","noEdu.primary",NA
"1978",818,"Egypt","noEdu.primary",0.00164385032645161
"1979",818,"Egypt","noEdu.primary",0.00161128686215054
"1980",818,"Egypt","noEdu.primary",0.00157872339784946
"1981",818,"Egypt","noEdu.primary",0.00154920448623656
"1982",818,"Egypt","noEdu.primary",0.0015449078499422
"1983",818,"Egypt","noEdu.primary",0.00151489901190751
"1984",818,"Egypt","noEdu.primary",0.00148489017387283
"1985",818,"Egypt","noEdu.primary",0.00148383281178862
"1986",818,"Egypt","noEdu.primary",0.00145608799634146
"1987",818,"Egypt","noEdu.primary",0.00142834318089431
"1988",818,"Egypt","noEdu.primary",0.00140059836544715
"1989",818,"Egypt","noEdu.primary",0.00140249327058824
"1990",818,"Egypt","noEdu.primary",0.00138983985673077
"1991",818,"Egypt","noEdu.primary",0.00136385252384615
"1992",818,"Egypt","noEdu.primary",0.00133786519096154
