"geo","sex","edu.att","age.group","year","deaths.new","pop.size","age","mx","mx.tot","pop.tot","deaths.tot","deaths_edu_prop"
"Albania","F","noEdu.primary","15-19",1978,NA,15920,15,NA,0.000632758072,139640,89,NA
"Albania","F","noEdu.primary","20-24",1978,NA,9040,20,NA,0.000949910208,118000,113,NA
"Albania","F","secondary.higher","25-29",1978,NA,77940,25,NA,0.00113984422,93540,107,NA
"Albania","F","secondary.higher","30-34",1978,NA,51000,30,NA,0.00127859098,76380,98,NA
"Albania","F","noEdu.primary","35-39",1978,NA,34880,35,NA,0.00157323158,68300,108,NA
"Albania","F","noEdu.primary","40-44",1978,NA,38780,40,NA,0.00215874964,59500,129,NA
"Albania","F","secondary.higher","45-49",1978,NA,10940,45,NA,0.00300978664,49420,149,NA
"Albania","F","secondary.higher","50-54",1978,NA,4700,50,NA,0.00402972996,42560,172,NA
"Albania","F","noEdu.primary","55-59",1978,NA,34580,55,NA,0.00574121828,36140,208,NA
"Albania","F","noEdu.primary","60-64",1978,NA,30640,60,NA,0.00981596478,31080,306,NA
"Albania","F","secondary.higher","65-69",1978,NA,60,65,NA,0.0185165424,26480,491,NA
"Albania","F","secondary.higher","70-74",1978,NA,0,70,NA,0.0346365924,20020,694,NA
"Albania","F","noEdu.primary","75-79",1978,NA,13440,75,NA,0.0632422102,13440,850,NA
"Albania","F","noEdu.primary","80-84",1978,NA,8000,80,NA,0.112099876,8000,897,NA
"Albania","F","secondary.higher","85+",1978,NA,0,85,NA,0.224028745671119,4380,982,NA
"Albania","M","secondary.higher","15-19",1978,NA,131520,15,NA,0.00092891922,146340,136,NA
"Albania","M","noEdu.primary","20-24",1978,NA,6400,20,NA,0.00146355668,123120,181,NA
"Albania","M","noEdu.primary","25-29",1978,NA,8720,25,NA,0.00177985394,98580,176,NA
"Albania","M","secondary.higher","30-34",1978,NA,68460,30,NA,0.00187533646,83660,157,NA
"Albania","M","secondary.higher","35-39",1978,NA,53140,35,NA,0.0019963619,77660,156,NA
"Albania","M","noEdu.primary","40-44",1978,NA,30720,40,NA,0.00247001908,69060,171,NA
"Albania","M","noEdu.primary","45-49",1978,NA,33960,45,NA,0.00369398178,58080,215,NA
"Albania","M","secondary.higher","50-54",1978,NA,12940,50,NA,0.0060976979,46760,286,NA
"Albania","M","secondary.higher","55-59",1978,NA,5600,55,NA,0.0102992202,36060,372,NA
"Albania","M","noEdu.primary","60-64",1978,NA,29260,60,NA,0.0176407044,31700,560,NA
"Albania","M","noEdu.primary","65-69",1978,NA,24600,65,NA,0.030517234,25480,778,NA
"Albania","M","secondary.higher","70-74",1978,NA,240,70,NA,0.0516899818,17780,920,NA
"Albania","M","secondary.higher","75-79",1978,NA,0,75,NA,0.0857625682,11060,949,NA
"Albania","M","noEdu.primary","80-84",1978,NA,5700,80,NA,0.13842197,5700,790,NA
"Albania","M","noEdu.primary","85+",1978,NA,2960,85,NA,0.243417451622069,2960,721,NA
"Albania","F","secondary.higher","15-19",1978,NA,123720,15,NA,0.000632758072,139640,89,NA
"Albania","F","secondary.higher","20-24",1978,NA,108960,20,NA,0.000949910208,118000,113,NA
"Albania","F","noEdu.primary","25-29",1978,NA,15600,25,NA,0.00113984422,93540,107,NA
"Albania","F","noEdu.primary","30-34",1978,NA,25380,30,NA,0.00127859098,76380,98,NA
"Albania","F","secondary.higher","35-39",1978,NA,33420,35,NA,0.00157323158,68300,108,NA
"Albania","F","secondary.higher","40-44",1978,NA,20720,40,NA,0.00215874964,59500,129,NA
"Albania","F","noEdu.primary","45-49",1978,NA,38480,45,NA,0.00300978664,49420,149,NA
"Albania","F","noEdu.primary","50-54",1978,NA,37860,50,NA,0.00402972996,42560,172,NA
"Albania","F","secondary.higher","55-59",1978,NA,1560,55,NA,0.00574121828,36140,208,NA
"Albania","F","secondary.higher","60-64",1978,NA,440,60,NA,0.00981596478,31080,306,NA
"Albania","F","noEdu.primary","65-69",1978,NA,26420,65,NA,0.0185165424,26480,491,NA
